timestamp,rssi,label
17/042026 20:56:20.049,-43,walking
17/042026 20:56:20.099,-43,walking
17/042026 20:56:20.149,-43,walking
17/042026 20:56:20.199,-43,walking
17/042026 20:56:20.249,-43,walking
17/042026 20:56:20.299,-42,walking
17/042026 20:56:20.349,-42,walking
17/042026 20:56:20.399,-42,walking
17/042026 20:56:20.449,-42,walking
17/042026 20:56:20.499,-41,walking
17/042026 20:56:20.549,-41,walking
17/042026 20:56:20.599,-43,walking
17/042026 20:56:20.649,-43,walking
17/042026 20:56:20.699,-42,walking
17/042026 20:56:20.749,-42,walking
17/042026 20:56:20.799,-42,walking
17/042026 20:56:20.849,-42,walking
17/042026 20:56:20.899,-43,walking
17/042026 20:56:20.949,-43,walking
17/042026 20:56:20.999,-38,walking
17/042026 20:56:21.048,-38,walking
17/042026 20:56:21.099,-41,walking
17/042026 20:56:21.150,-41,walking
17/042026 20:56:21.199,-42,walking
17/042026 20:56:21.249,-42,walking
17/042026 20:56:21.299,-42,walking
17/042026 20:56:21.349,-42,walking
17/042026 20:56:21.399,-38,walking
17/042026 20:56:21.449,-38,walking
17/042026 20:56:21.498,-39,walking
17/042026 20:56:21.549,-39,walking
17/042026 20:56:21.599,-41,walking
17/042026 20:56:21.649,-41,walking
17/042026 20:56:21.699,-41,walking
17/042026 20:56:21.749,-41,walking
17/042026 20:56:21.799,-42,walking
17/042026 20:56:21.850,-42,walking
17/042026 20:56:21.899,-45,walking
17/042026 20:56:21.949,-45,walking
17/042026 20:56:22.000,-43,walking
17/042026 20:56:22.049,-43,walking
17/042026 20:56:22.099,-38,walking
17/042026 20:56:22.149,-38,walking
17/042026 20:56:22.199,-38,walking
17/042026 20:56:22.249,-42,walking
17/042026 20:56:22.299,-42,walking
17/042026 20:56:22.350,-39,walking
17/042026 20:56:22.399,-39,walking
17/042026 20:56:22.449,-43,walking
17/042026 20:56:22.499,-43,walking
17/042026 20:56:22.549,-43,walking
17/042026 20:56:22.599,-43,walking
