timestamp,rssi,label
19/042026 00:45:44.004,-56,walking
19/042026 00:45:44.053,-56,walking
19/042026 00:45:44.105,-58,walking
19/042026 00:45:44.154,-58,walking
19/042026 00:45:44.204,-62,walking
19/042026 00:45:44.253,-62,walking
19/042026 00:45:44.304,-65,walking
19/042026 00:45:44.353,-65,walking
19/042026 00:45:44.403,-68,walking
19/042026 00:45:44.453,-68,walking
19/042026 00:45:44.503,-60,walking
19/042026 00:45:44.553,-60,walking
19/042026 00:45:44.604,-65,walking
19/042026 00:45:44.653,-65,walking
19/042026 00:45:44.703,-57,walking
19/042026 00:45:44.754,-57,walking
19/042026 00:45:44.804,-59,walking
19/042026 00:45:44.853,-59,walking
19/042026 00:45:44.903,-57,walking
19/042026 00:45:44.953,-57,walking
19/042026 00:45:45.004,-56,walking
19/042026 00:45:45.053,-56,walking
19/042026 00:45:45.104,-56,walking
19/042026 00:45:45.153,-56,walking
19/042026 00:45:45.204,-54,walking
19/042026 00:45:45.253,-54,walking
19/042026 00:45:45.304,-58,walking
19/042026 00:45:45.353,-58,walking
19/042026 00:45:45.403,-56,walking
19/042026 00:45:45.453,-56,walking
19/042026 00:45:45.504,-59,walking
19/042026 00:45:45.553,-59,walking
19/042026 00:45:45.603,-66,walking
19/042026 00:45:45.653,-66,walking
19/042026 00:45:45.704,-65,walking
19/042026 00:45:45.753,-65,walking
19/042026 00:45:45.803,-64,walking
19/042026 00:45:45.853,-64,walking
19/042026 00:45:45.904,-60,walking
19/042026 00:45:45.953,-60,walking
19/042026 00:45:46.003,-60,walking
19/042026 00:45:46.053,-56,walking
19/042026 00:45:46.104,-56,walking
19/042026 00:45:46.154,-55,walking
19/042026 00:45:46.203,-55,walking
19/042026 00:45:46.254,-58,walking
19/042026 00:45:46.303,-58,walking
19/042026 00:45:46.355,-62,walking
19/042026 00:45:46.403,-62,walking
19/042026 00:45:46.454,-65,walking
19/042026 00:45:46.504,-65,walking
19/042026 00:45:46.554,-59,walking
19/042026 00:45:46.604,-59,walking
19/042026 00:45:46.653,-59,walking
19/042026 00:45:46.703,-59,walking
19/042026 00:45:46.753,-57,walking
19/042026 00:45:46.804,-57,walking
19/042026 00:45:46.854,-56,walking
19/042026 00:45:46.904,-56,walking
19/042026 00:45:46.953,-56,walking
19/042026 00:45:47.004,-56,walking
19/042026 00:45:47.054,-59,walking
19/042026 00:45:47.103,-59,walking
19/042026 00:45:47.154,-63,walking
19/042026 00:45:47.203,-63,walking
19/042026 00:45:47.254,-68,walking
19/042026 00:45:47.304,-68,walking
19/042026 00:45:47.353,-55,walking
19/042026 00:45:47.403,-55,walking
19/042026 00:45:47.454,-66,walking
19/042026 00:45:47.504,-66,walking
19/042026 00:45:47.553,-55,walking
19/042026 00:45:47.603,-55,walking
19/042026 00:45:47.653,-54,walking
19/042026 00:45:47.704,-54,walking
19/042026 00:45:47.754,-58,walking
19/042026 00:45:47.803,-58,walking
19/042026 00:45:47.853,-53,walking
19/042026 00:45:47.903,-53,walking
19/042026 00:45:47.953,-60,walking
19/042026 00:45:48.004,-60,walking
19/042026 00:45:48.053,-60,walking
19/042026 00:45:48.103,-60,walking
19/042026 00:45:48.153,-60,walking
19/042026 00:45:48.203,-56,walking
19/042026 00:45:48.254,-56,walking
19/042026 00:45:48.303,-69,walking
19/042026 00:45:48.354,-69,walking
19/042026 00:45:48.404,-59,walking
19/042026 00:45:48.454,-59,walking
19/042026 00:45:48.503,-65,walking
19/042026 00:45:48.553,-65,walking
19/042026 00:45:48.604,-60,walking
19/042026 00:45:48.654,-60,walking
19/042026 00:45:48.703,-60,walking
19/042026 00:45:48.753,-60,walking
19/042026 00:45:48.803,-64,walking
19/042026 00:45:48.853,-64,walking
19/042026 00:45:48.904,-65,walking
19/042026 00:45:48.954,-65,walking
19/042026 00:45:49.004,-60,walking
19/042026 00:45:49.053,-60,walking
19/042026 00:45:49.104,-60,walking
19/042026 00:45:49.153,-60,walking
19/042026 00:45:49.204,-56,walking
19/042026 00:45:49.253,-56,walking
19/042026 00:45:49.304,-54,walking
19/042026 00:45:49.354,-54,walking
19/042026 00:45:49.404,-65,walking
19/042026 00:45:49.453,-65,walking
19/042026 00:45:49.503,-54,walking
19/042026 00:45:49.553,-54,walking
19/042026 00:45:49.604,-59,walking
19/042026 00:45:49.654,-59,walking
19/042026 00:45:49.703,-67,walking
19/042026 00:45:49.755,-67,walking
19/042026 00:45:49.804,-60,walking
19/042026 00:45:49.853,-60,walking
19/042026 00:45:49.904,-53,walking
19/042026 00:45:49.954,-53,walking
19/042026 00:45:50.003,-59,walking
19/042026 00:45:50.053,-59,walking
19/042026 00:45:50.104,-54,walking
19/042026 00:45:50.153,-54,walking
