timestamp,rssi,label
15/042026 22:44:21.018,-51,walking
15/042026 22:44:21.067,-51,walking
15/042026 22:44:21.118,-47,walking
15/042026 22:44:21.168,-47,walking
15/042026 22:44:21.218,-48,walking
15/042026 22:44:21.268,-48,walking
15/042026 22:44:21.318,-44,walking
15/042026 22:44:21.368,-44,walking
15/042026 22:44:21.417,-49,walking
15/042026 22:44:21.468,-49,walking
15/042026 22:44:21.518,-50,walking
15/042026 22:44:21.568,-50,walking
15/042026 22:44:21.618,-50,walking
15/042026 22:44:21.668,-50,walking
15/042026 22:44:21.718,-50,walking
15/042026 22:44:21.767,-50,walking
15/042026 22:44:21.818,-47,walking
15/042026 22:44:21.867,-47,walking
15/042026 22:44:21.918,-47,walking
15/042026 22:44:21.968,-47,walking
15/042026 22:44:22.018,-47,walking
15/042026 22:44:22.067,-55,walking
15/042026 22:44:22.118,-55,walking
15/042026 22:44:22.168,-54,walking
15/042026 22:44:22.218,-54,walking
15/042026 22:44:22.267,-54,walking
15/042026 22:44:22.318,-54,walking
15/042026 22:44:22.368,-49,walking
15/042026 22:44:22.418,-49,walking
15/042026 22:44:22.467,-46,walking
15/042026 22:44:22.517,-46,walking
15/042026 22:44:22.568,-43,walking
15/042026 22:44:22.618,-43,walking
15/042026 22:44:22.668,-45,walking
15/042026 22:44:22.717,-45,walking
15/042026 22:44:22.768,-45,walking
15/042026 22:44:22.818,-45,walking
15/042026 22:44:22.867,-47,walking
15/042026 22:44:22.918,-47,walking
15/042026 22:44:22.967,-43,walking
15/042026 22:44:23.018,-43,walking
15/042026 22:44:23.068,-46,walking
15/042026 22:44:23.118,-46,walking
15/042026 22:44:23.168,-47,walking
15/042026 22:44:23.218,-47,walking
15/042026 22:44:23.267,-42,walking
15/042026 22:44:23.317,-42,walking
15/042026 22:44:23.367,-45,walking
15/042026 22:44:23.418,-45,walking
15/042026 22:44:23.467,-45,walking
15/042026 22:44:23.518,-45,walking
15/042026 22:44:23.568,-42,walking
15/042026 22:44:23.617,-42,walking
15/042026 22:44:23.668,-40,walking
15/042026 22:44:23.717,-40,walking
15/042026 22:44:23.768,-40,walking
15/042026 22:44:23.818,-44,walking
15/042026 22:44:23.868,-43,walking
15/042026 22:44:23.918,-43,walking
15/042026 22:44:23.968,-43,walking
15/042026 22:44:24.018,-44,walking
15/042026 22:44:24.067,-44,walking
15/042026 22:44:24.117,-46,walking
15/042026 22:44:24.167,-46,walking
15/042026 22:44:24.218,-42,walking
15/042026 22:44:24.268,-42,walking
15/042026 22:44:24.318,-41,walking
15/042026 22:44:24.368,-41,walking
15/042026 22:44:24.418,-46,walking
15/042026 22:44:24.468,-46,walking
15/042026 22:44:24.517,-44,walking
15/042026 22:44:24.568,-44,walking
15/042026 22:44:24.618,-48,walking
15/042026 22:44:24.667,-48,walking
15/042026 22:44:24.718,-47,walking
15/042026 22:44:24.767,-47,walking
15/042026 22:44:24.818,-49,walking
15/042026 22:44:24.868,-49,walking
15/042026 22:44:24.918,-48,walking
15/042026 22:44:24.967,-48,walking
15/042026 22:44:25.018,-48,walking
15/042026 22:44:25.068,-48,walking
15/042026 22:44:25.117,-46,walking
15/042026 22:44:25.168,-46,walking
15/042026 22:44:25.218,-48,walking
15/042026 22:44:25.268,-48,walking
15/042026 22:44:25.318,-52,walking
15/042026 22:44:25.368,-52,walking
15/042026 22:44:25.416,-47,walking
15/042026 22:44:25.468,-47,walking
15/042026 22:44:25.518,-54,walking
15/042026 22:44:25.568,-54,walking
15/042026 22:44:25.618,-51,walking
15/042026 22:44:25.667,-51,walking
15/042026 22:44:25.717,-47,walking
15/042026 22:44:25.768,-47,walking
15/042026 22:44:25.818,-46,walking
15/042026 22:44:25.867,-46,walking
15/042026 22:44:25.918,-46,walking
15/042026 22:44:25.967,-43,walking
15/042026 22:44:26.017,-46,walking
15/042026 22:44:26.069,-46,walking
15/042026 22:44:26.118,-46,walking
15/042026 22:44:26.167,-48,walking
15/042026 22:44:26.217,-48,walking
15/042026 22:44:26.268,-46,walking
15/042026 22:44:26.318,-46,walking
15/042026 22:44:26.368,-43,walking
15/042026 22:44:26.418,-43,walking
15/042026 22:44:26.467,-43,walking
15/042026 22:44:26.517,-43,walking
15/042026 22:44:26.567,-41,walking
15/042026 22:44:26.618,-41,walking
15/042026 22:44:26.668,-45,walking
15/042026 22:44:26.718,-45,walking
15/042026 22:44:26.767,-44,walking
15/042026 22:44:26.818,-44,walking
15/042026 22:44:26.867,-44,walking
15/042026 22:44:26.918,-44,walking
15/042026 22:44:26.968,-46,walking
15/042026 22:44:27.018,-46,walking
15/042026 22:44:27.068,-48,walking
15/042026 22:44:27.118,-48,walking
15/042026 22:44:27.167,-48,walking
15/042026 22:44:27.218,-48,walking
15/042026 22:44:27.267,-51,walking
15/042026 22:44:27.318,-51,walking
15/042026 22:44:27.367,-47,walking
15/042026 22:44:27.418,-47,walking
15/042026 22:44:27.468,-49,walking
15/042026 22:44:27.518,-49,walking
15/042026 22:44:27.567,-43,walking
15/042026 22:44:27.618,-43,walking
15/042026 22:44:27.667,-49,walking
15/042026 22:44:27.717,-49,walking
15/042026 22:44:27.767,-50,walking
15/042026 22:44:27.818,-50,walking
15/042026 22:44:27.868,-50,walking
15/042026 22:44:27.918,-50,walking
15/042026 22:44:27.967,-49,walking
15/042026 22:44:28.018,-49,walking
15/042026 22:44:28.068,-49,walking
15/042026 22:44:28.118,-49,walking
15/042026 22:44:28.166,-46,walking
15/042026 22:44:28.218,-46,walking
15/042026 22:44:28.269,-46,walking
15/042026 22:44:28.318,-45,walking
15/042026 22:44:28.368,-45,walking
15/042026 22:44:28.417,-50,walking
15/042026 22:44:28.468,-50,walking
15/042026 22:44:28.517,-50,walking
15/042026 22:44:28.567,-50,walking
15/042026 22:44:28.618,-48,walking
15/042026 22:44:28.668,-48,walking
15/042026 22:44:28.717,-51,walking
15/042026 22:44:28.768,-51,walking
15/042026 22:44:28.818,-52,walking
15/042026 22:44:28.867,-52,walking
15/042026 22:44:28.918,-53,walking
15/042026 22:44:28.967,-53,walking
15/042026 22:44:29.017,-55,walking
15/042026 22:44:29.068,-55,walking
15/042026 22:44:29.118,-50,walking
15/042026 22:44:29.168,-50,walking
15/042026 22:44:29.217,-52,walking
15/042026 22:44:29.267,-52,walking
15/042026 22:44:29.318,-52,walking
15/042026 22:44:29.367,-52,walking
15/042026 22:44:29.417,-60,walking
15/042026 22:44:29.468,-60,walking
15/042026 22:44:29.518,-51,walking
15/042026 22:44:29.568,-51,walking
15/042026 22:44:29.618,-50,walking
15/042026 22:44:29.668,-50,walking
15/042026 22:44:29.717,-46,walking
15/042026 22:44:29.767,-46,walking
15/042026 22:44:29.818,-45,walking
15/042026 22:44:29.868,-45,walking
15/042026 22:44:29.918,-47,walking
15/042026 22:44:29.969,-47,walking
15/042026 22:44:30.017,-45,walking
15/042026 22:44:30.068,-45,walking
15/042026 22:44:30.118,-46,walking
15/042026 22:44:30.166,-46,walking
15/042026 22:44:30.218,-45,walking
15/042026 22:44:30.267,-45,walking
15/042026 22:44:30.318,-44,walking
15/042026 22:44:30.368,-44,walking
15/042026 22:44:30.417,-44,walking
15/042026 22:44:30.467,-44,walking
15/042026 22:44:30.518,-44,walking
15/042026 22:44:30.567,-44,walking
15/042026 22:44:30.617,-44,walking
15/042026 22:44:30.668,-45,walking
15/042026 22:44:30.718,-45,walking
15/042026 22:44:30.769,-48,walking
15/042026 22:44:30.818,-48,walking
15/042026 22:44:30.868,-43,walking
15/042026 22:44:30.918,-43,walking
15/042026 22:44:30.968,-45,walking
15/042026 22:44:31.018,-45,walking
15/042026 22:44:31.067,-41,walking
15/042026 22:44:31.118,-41,walking
15/042026 22:44:31.168,-44,walking
15/042026 22:44:31.217,-44,walking
15/042026 22:44:31.267,-42,walking
15/042026 22:44:31.317,-42,walking
15/042026 22:44:31.368,-43,walking
15/042026 22:44:31.417,-43,walking
15/042026 22:44:31.467,-43,walking
15/042026 22:44:31.518,-43,walking
15/042026 22:44:31.568,-48,walking
15/042026 22:44:31.617,-48,walking
15/042026 22:44:31.667,-47,walking
15/042026 22:44:31.718,-47,walking
15/042026 22:44:31.768,-46,walking
15/042026 22:44:31.818,-46,walking
15/042026 22:44:31.868,-46,walking
15/042026 22:44:31.917,-46,walking
15/042026 22:44:31.967,-48,walking
15/042026 22:44:32.017,-48,walking
15/042026 22:44:32.068,-48,walking
15/042026 22:44:32.117,-48,walking
15/042026 22:44:32.168,-48,walking
15/042026 22:44:32.218,-48,walking
15/042026 22:44:32.268,-47,walking
15/042026 22:44:32.318,-47,walking
15/042026 22:44:32.368,-45,walking
15/042026 22:44:32.417,-45,walking
15/042026 22:44:32.467,-45,walking
15/042026 22:44:32.518,-47,walking
15/042026 22:44:32.568,-47,walking
15/042026 22:44:32.617,-42,walking
15/042026 22:44:32.668,-42,walking
15/042026 22:44:32.718,-44,walking
15/042026 22:44:32.768,-44,walking
15/042026 22:44:32.818,-44,walking
15/042026 22:44:32.868,-44,walking
15/042026 22:44:32.917,-41,walking
15/042026 22:44:32.967,-41,walking
15/042026 22:44:33.018,-39,walking
15/042026 22:44:33.068,-39,walking
15/042026 22:44:33.118,-41,walking
15/042026 22:44:33.168,-41,walking
15/042026 22:44:33.217,-41,walking
15/042026 22:44:33.267,-41,walking
15/042026 22:44:33.318,-44,walking
15/042026 22:44:33.368,-44,walking
15/042026 22:44:33.418,-40,walking
15/042026 22:44:33.467,-40,walking
15/042026 22:44:33.518,-44,walking
15/042026 22:44:33.568,-44,walking
15/042026 22:44:33.617,-46,walking
15/042026 22:44:33.667,-46,walking
15/042026 22:44:33.717,-46,walking
15/042026 22:44:33.768,-46,walking
15/042026 22:44:33.818,-48,walking
15/042026 22:44:33.868,-48,walking
15/042026 22:44:33.918,-46,walking
15/042026 22:44:33.968,-46,walking
15/042026 22:44:34.017,-44,walking
15/042026 22:44:34.068,-44,walking
15/042026 22:44:34.117,-44,walking
15/042026 22:44:34.166,-44,walking
15/042026 22:44:34.217,-43,walking
15/042026 22:44:34.268,-43,walking
15/042026 22:44:34.317,-44,walking
15/042026 22:44:34.367,-44,walking
15/042026 22:44:34.418,-46,walking
15/042026 22:44:34.468,-46,walking
15/042026 22:44:34.518,-45,walking
15/042026 22:44:34.568,-45,walking
15/042026 22:44:34.617,-43,walking
15/042026 22:44:34.667,-43,walking
15/042026 22:44:34.717,-43,walking
