timestamp,rssi,label
15/042026 22:46:00.018,-51,walking
15/042026 22:46:00.067,-51,walking
15/042026 22:46:00.117,-51,walking
15/042026 22:46:00.167,-48,walking
15/042026 22:46:00.216,-48,walking
15/042026 22:46:00.267,-45,walking
15/042026 22:46:00.318,-45,walking
15/042026 22:46:00.367,-52,walking
15/042026 22:46:00.418,-52,walking
15/042026 22:46:00.467,-45,walking
15/042026 22:46:00.518,-45,walking
15/042026 22:46:00.567,-46,walking
15/042026 22:46:00.618,-46,walking
15/042026 22:46:00.668,-51,walking
15/042026 22:46:00.718,-51,walking
15/042026 22:46:00.767,-48,walking
15/042026 22:46:00.818,-48,walking
15/042026 22:46:00.867,-49,walking
15/042026 22:46:00.917,-49,walking
15/042026 22:46:00.967,-48,walking
15/042026 22:46:01.017,-48,walking
15/042026 22:46:01.068,-48,walking
15/042026 22:46:01.117,-48,walking
15/042026 22:46:01.168,-44,walking
15/042026 22:46:01.218,-44,walking
15/042026 22:46:01.267,-43,walking
15/042026 22:46:01.317,-43,walking
15/042026 22:46:01.367,-44,walking
15/042026 22:46:01.418,-44,walking
15/042026 22:46:01.468,-47,walking
15/042026 22:46:01.518,-47,walking
15/042026 22:46:01.567,-43,walking
15/042026 22:46:01.618,-43,walking
15/042026 22:46:01.667,-43,walking
15/042026 22:46:01.717,-43,walking
15/042026 22:46:01.768,-42,walking
15/042026 22:46:01.817,-42,walking
15/042026 22:46:01.868,-43,walking
15/042026 22:46:01.917,-43,walking
15/042026 22:46:01.967,-41,walking
15/042026 22:46:02.018,-41,walking
15/042026 22:46:02.067,-45,walking
15/042026 22:46:02.117,-45,walking
15/042026 22:46:02.167,-47,walking
15/042026 22:46:02.217,-47,walking
15/042026 22:46:02.266,-47,walking
15/042026 22:46:02.317,-40,walking
15/042026 22:46:02.368,-40,walking
15/042026 22:46:02.416,-45,walking
15/042026 22:46:02.468,-45,walking
15/042026 22:46:02.517,-45,walking
15/042026 22:46:02.567,-45,walking
15/042026 22:46:02.618,-45,walking
15/042026 22:46:02.667,-45,walking
15/042026 22:46:02.717,-50,walking
15/042026 22:46:02.768,-50,walking
15/042026 22:46:02.817,-46,walking
15/042026 22:46:02.867,-46,walking
15/042026 22:46:02.917,-46,walking
15/042026 22:46:02.967,-46,walking
15/042026 22:46:03.017,-46,walking
15/042026 22:46:03.068,-46,walking
15/042026 22:46:03.118,-48,walking
15/042026 22:46:03.167,-48,walking
15/042026 22:46:03.218,-46,walking
15/042026 22:46:03.268,-46,walking
15/042026 22:46:03.317,-44,walking
15/042026 22:46:03.367,-44,walking
15/042026 22:46:03.418,-46,walking
15/042026 22:46:03.468,-46,walking
15/042026 22:46:03.518,-44,walking
15/042026 22:46:03.567,-44,walking
15/042026 22:46:03.618,-44,walking
15/042026 22:46:03.667,-44,walking
15/042026 22:46:03.717,-47,walking
15/042026 22:46:03.768,-47,walking
15/042026 22:46:03.818,-46,walking
15/042026 22:46:03.868,-46,walking
15/042026 22:46:03.918,-44,walking
15/042026 22:46:03.968,-44,walking
15/042026 22:46:04.018,-45,walking
15/042026 22:46:04.067,-45,walking
15/042026 22:46:04.117,-43,walking
15/042026 22:46:04.167,-43,walking
15/042026 22:46:04.217,-45,walking
15/042026 22:46:04.267,-45,walking
15/042026 22:46:04.318,-45,walking
15/042026 22:46:04.368,-45,walking
15/042026 22:46:04.418,-45,walking
15/042026 22:46:04.467,-43,walking
15/042026 22:46:04.517,-43,walking
15/042026 22:46:04.567,-48,walking
15/042026 22:46:04.618,-48,walking
15/042026 22:46:04.668,-51,walking
15/042026 22:46:04.717,-51,walking
15/042026 22:46:04.768,-47,walking
15/042026 22:46:04.818,-47,walking
15/042026 22:46:04.867,-48,walking
15/042026 22:46:04.917,-48,walking
15/042026 22:46:04.967,-48,walking
15/042026 22:46:05.018,-48,walking
15/042026 22:46:05.068,-46,walking
15/042026 22:46:05.118,-46,walking
15/042026 22:46:05.168,-45,walking
15/042026 22:46:05.218,-45,walking
15/042026 22:46:05.267,-48,walking
15/042026 22:46:05.318,-48,walking
15/042026 22:46:05.367,-54,walking
15/042026 22:46:05.417,-54,walking
15/042026 22:46:05.468,-57,walking
15/042026 22:46:05.517,-57,walking
15/042026 22:46:05.567,-53,walking
15/042026 22:46:05.617,-53,walking
15/042026 22:46:05.668,-53,walking
15/042026 22:46:05.717,-53,walking
15/042026 22:46:05.767,-49,walking
15/042026 22:46:05.817,-49,walking
15/042026 22:46:05.868,-44,walking
15/042026 22:46:05.917,-44,walking
15/042026 22:46:05.967,-49,walking
15/042026 22:46:06.018,-49,walking
15/042026 22:46:06.067,-52,walking
15/042026 22:46:06.117,-52,walking
15/042026 22:46:06.167,-45,walking
15/042026 22:46:06.218,-45,walking
15/042026 22:46:06.268,-46,walking
15/042026 22:46:06.316,-46,walking
15/042026 22:46:06.368,-46,walking
15/042026 22:46:06.417,-46,walking
15/042026 22:46:06.467,-46,walking
15/042026 22:46:06.517,-46,walking
